id,factory_name,factory_code,date,po_number,style_number,color_code,ship_id,po_type,po_quantity,wip8_outputs,tqc3_pass_qty,wip8_po_status_increase,fg10_po_status_increase,fg14_po_status_increase,wip8_po_statu_completion_quantity,fg10_po_statu_completion_quantity,fg14_po_statu_completion_quantity
CN_ZS_20260513_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,172,172,172,96,57,646,364,185
CN_ZS_20260513_CN_ZS-PO-0008_BLK_SH01,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0008,ST001,BLK,SH01,FOB,800,45,45,45,32,14,806,551,378
CN_ZS_20260513_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,162,162,162,138,66,1386,841,443
CN_ZS_20260513_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,164,164,184,114,48,869,507,231
CN_ZS_20260513_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,169,169,169,82,28,1034,678,317
CN_ZS_20260513_CN_ZS-PO-0018_WHT_SH01,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0018,ST001,WHT,SH01,FOB,3000,166,166,166,117,54,667,531,289
CN_ZS_20260513_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,49,49,49,29,15,893,613,356
CN_ZS_20260513_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,160,160,160,130,47,671,434,259
CN_ZS_20260513_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,115,115,95,66,33,1136,735,443
CN_ZS_20260513_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,168,168,168,104,57,681,451,228
CN_ZS_20260513_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-13,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,170,170,170,124,37,1201,855,416
CN_ZS_20260514_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,175,175,175,148,99,995,674,371
CN_ZS_20260514_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,165,165,165,94,67,1385,966,611
CN_ZS_20260514_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,121,121,121,97,58,1133,685,455
CN_ZS_20260514_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,104,104,104,55,27,1330,556,531
CN_ZS_20260514_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,56,56,56,37,15,938,581,268
CN_ZS_20260514_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,171,171,171,138,43,817,502,228
CN_ZS_20260514_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,182,182,182,143,72,912,444,264
CN_ZS_20260514_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,37,52,52,29,19,919,481,283
CN_ZS_20260514_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,71,71,71,61,36,948,664,339
CN_ZS_20260514_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,168,168,-31,-18,-7,627,430,225
CN_ZS_20260514_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,110,110,110,64,42,864,504,372
CN_ZS_20260514_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,47,47,47,19,7,896,285,257
CN_ZS_20260514_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,54,54,54,25,16,947,638,372
CN_ZS_20260514_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,153,153,153,115,51,834,566,279
CN_ZS_20260514_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,163,163,163,90,68,1578,972,584
CN_ZS_20260514_CN_ZS-PO-0024_BLK_SH04,中国中山厂,CN_ZS,2026-05-14,CN_ZS-PO-0024,ST003,BLK,SH04,FOB,3000,177,177,177,90,64,537,367,218
CN_ZS_20260515_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,200,200,-31,-26,-14,964,648,357
CN_ZS_20260515_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,114,114,114,84,57,1444,640,588
CN_ZS_20260515_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,106,106,106,82,51,923,584,279
CN_ZS_20260515_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,166,166,-28,-22,-16,884,422,248
CN_ZS_20260515_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,0,0,0,0,0,919,481,283
CN_ZS_20260515_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,177,177,177,135,97,1563,976,540
CN_ZS_20260515_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,41,41,41,32,18,989,696,357
CN_ZS_20260515_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,149,164,164,122,89,1033,629,320
CN_ZS_20260515_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,190,190,190,143,75,1224,821,392
CN_ZS_20260515_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,56,56,56,36,21,920,540,393
CN_ZS_20260515_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,114,114,114,55,19,973,590,338
CN_ZS_20260515_CN_ZS-PO-0018_WHT_SH01,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0018,ST001,WHT,SH01,FOB,3000,186,186,186,149,58,853,680,347
CN_ZS_20260515_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,56,56,56,26,18,1003,664,390
CN_ZS_20260515_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,169,169,169,130,59,840,564,318
CN_ZS_20260515_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,107,107,107,72,40,1685,1044,624
CN_ZS_20260515_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-15,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,161,161,141,66,42,1342,921,458
CN_ZS_20260516_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,167,167,167,138,106,1131,786,463
CN_ZS_20260516_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,162,162,162,110,52,1547,1076,663
CN_ZS_20260516_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,97,97,97,80,34,1230,765,489
CN_ZS_20260516_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,106,106,106,69,36,1550,709,624
CN_ZS_20260516_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,56,56,56,-9,26,994,572,294
CN_ZS_20260516_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,160,170,170,122,51,1054,544,299
CN_ZS_20260516_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,54,54,54,43,26,1043,739,383
CN_ZS_20260516_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,169,169,169,99,72,1202,728,392
CN_ZS_20260516_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,170,170,170,102,64,1394,923,456
CN_ZS_20260516_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,55,55,55,30,14,951,315,271
CN_ZS_20260516_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,191,191,191,101,32,1031,665,350
CN_ZS_20260516_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,102,102,102,62,25,1238,797,468
CN_ZS_20260516_CN_ZS-PO-0024_BLK_SH04,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0024,ST003,BLK,SH04,FOB,3000,172,172,172,104,41,709,471,259
CN_ZS_20260516_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-16,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,185,185,185,119,56,1527,1040,514
CN_ZS_20260518_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,156,156,156,100,74,1287,886,537
CN_ZS_20260518_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,175,175,175,76,49,1722,1152,712
CN_ZS_20260518_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,126,111,111,87,45,1341,852,534
CN_ZS_20260518_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,91,106,106,79,31,1656,788,655
CN_ZS_20260518_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,51,51,51,33,23,1045,605,317
CN_ZS_20260518_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,161,161,161,85,67,1215,629,366
CN_ZS_20260518_CN_ZS-PO-0008_BLK_SH01,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0008,ST001,BLK,SH01,FOB,800,64,64,64,46,18,870,597,396
CN_ZS_20260518_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,172,172,172,137,44,1566,1060,500
CN_ZS_20260518_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,178,178,178,74,38,805,504,263
CN_ZS_20260518_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,50,50,50,20,6,970,560,399
CN_ZS_20260518_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,105,105,105,74,25,1078,664,363
CN_ZS_20260518_CN_ZS-PO-0017_RED_SH09,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0017,ST006,RED,SH09,FOB,1000,58,58,58,24,7,1009,339,278
CN_ZS_20260518_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,170,170,170,109,46,1201,774,396
CN_ZS_20260518_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,114,114,114,101,32,1352,898,500
CN_ZS_20260518_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-18,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,171,171,171,138,55,1005,704,334
CN_ZS_20260519_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,180,180,180,148,70,1467,1034,607
CN_ZS_20260519_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,195,195,-50,-44,-24,1672,1108,688
CN_ZS_20260519_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,47,47,47,35,24,1703,823,679
CN_ZS_20260519_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,120,120,120,61,38,1043,645,317
CN_ZS_20260519_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,168,168,168,69,50,1383,698,416
CN_ZS_20260519_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,181,181,181,109,77,986,613,340
CN_ZS_20260519_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,59,59,59,41,24,1029,601,423
CN_ZS_20260519_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,105,105,105,47,30,1183,711,393
CN_ZS_20260519_CN_ZS-PO-0018_WHT_SH01,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0018,ST001,WHT,SH01,FOB,3000,171,171,171,123,52,1024,803,399
CN_ZS_20260519_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,102,102,102,73,31,1454,971,531
CN_ZS_20260519_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,165,165,165,101,51,1170,805,385
CN_ZS_20260519_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,112,112,112,59,38,1797,1103,662
CN_ZS_20260519_CN_ZS-PO-0024_BLK_SH04,中国中山厂,CN_ZS,2026-05-19,CN_ZS-PO-0024,ST003,BLK,SH04,FOB,3000,169,169,169,143,78,878,614,337
CN_ZS_20260520_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,177,177,177,140,109,1849,1248,797
CN_ZS_20260520_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,104,104,104,-15,14,1445,837,548
CN_ZS_20260520_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,114,114,114,46,20,1157,691,337
CN_ZS_20260520_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,160,160,160,118,52,1543,816,468
CN_ZS_20260520_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,191,191,191,159,79,1754,1135,619
CN_ZS_20260520_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,171,171,171,149,103,1737,1209,603
CN_ZS_20260520_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,108,108,108,86,46,1291,797,439
CN_ZS_20260520_CN_ZS-PO-0018_WHT_SH01,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0018,ST001,WHT,SH01,FOB,3000,167,167,167,97,31,1191,900,430
CN_ZS_20260520_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,108,108,108,56,21,1562,1027,552
CN_ZS_20260520_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,163,163,163,-6,52,1333,799,437
CN_ZS_20260520_CN_ZS-PO-0024_BLK_SH04,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0024,ST003,BLK,SH04,FOB,3000,167,167,167,90,32,1045,704,369
CN_ZS_20260520_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-20,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,184,184,184,129,101,1711,1169,615
CN_ZS_20260521_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,175,175,175,130,61,2024,1378,858
CN_ZS_20260521_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,53,53,53,47,28,1756,870,707
CN_ZS_20260521_CN_ZS-PO-0007_BLK_SH01,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0007,ST001,BLK,SH01,CMT,8000,152,152,152,-14,43,1695,802,511
CN_ZS_20260521_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,153,153,153,121,74,1355,849,466
CN_ZS_20260521_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,165,165,165,93,55,1151,706,395
CN_ZS_20260521_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,52,52,52,36,27,1343,833,466
CN_ZS_20260521_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,153,153,153,124,96,1354,898,492
CN_ZS_20260521_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,108,108,88,54,27,1650,1081,579
CN_ZS_20260521_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,171,171,171,104,51,1504,903,488
CN_ZS_20260521_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,110,110,110,60,40,1907,1163,702
CN_ZS_20260521_CN_ZS-PO-0024_BLK_SH04,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0024,ST003,BLK,SH04,FOB,3000,173,173,173,108,75,1218,812,444
CN_ZS_20260521_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-21,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,159,159,159,91,52,1870,1260,667
CN_ZS_20260522_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,170,170,170,118,40,1637,1152,647
CN_ZS_20260522_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,181,181,181,130,92,2205,1508,950
CN_ZS_20260522_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,109,109,109,49,18,1554,886,566
CN_ZS_20260522_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,55,55,55,27,14,1811,897,721
CN_ZS_20260522_CN_ZS-PO-0006_GRN_SH03,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0006,ST002,GRN,SH03,CMT,1500,112,112,112,54,34,1269,745,371
CN_ZS_20260522_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,177,177,177,122,64,1532,971,530
CN_ZS_20260522_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,167,167,167,99,38,1318,805,433
CN_ZS_20260522_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,62,62,62,51,27,1405,884,493
CN_ZS_20260522_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,169,169,169,114,44,1523,1012,536
CN_ZS_20260522_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,41,41,41,19,7,1691,1100,586
CN_ZS_20260522_CN_ZS-PO-0022_NVY_SH10,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0022,ST007,NVY,SH10,CMT,5000,183,183,183,102,44,1687,1005,532
CN_ZS_20260522_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,113,113,113,94,63,2020,1257,765
CN_ZS_20260522_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-22,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,174,174,174,137,72,2044,1397,739
CN_ZS_20260523_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,178,178,178,89,59,1815,1241,706
CN_ZS_20260523_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,171,171,171,101,55,2376,1609,1005
CN_ZS_20260523_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,103,103,103,91,41,1657,977,607
CN_ZS_20260523_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,51,51,51,39,29,1862,936,750
CN_ZS_20260523_CN_ZS-PO-0012_RED_SH09,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0012,ST006,RED,SH09,FOB,3000,96,96,-12,-5,-3,1520,966,527
CN_ZS_20260523_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,38,53,53,23,12,1458,907,505
CN_ZS_20260523_CN_ZS-PO-0018_WHT_SH01,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0018,ST001,WHT,SH01,FOB,3000,179,179,179,156,54,1370,1056,484
CN_ZS_20260523_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,48,48,48,26,11,1051,690,401
CN_ZS_20260523_CN_ZS-PO-0020_GRY_SH06,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0020,ST004,GRY,SH06,FOB,8000,187,187,187,-19,64,1710,993,600
CN_ZS_20260523_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,123,123,123,95,46,2143,1352,811
CN_ZS_20260523_CN_ZS-PO-0024_BLK_SH04,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0024,ST003,BLK,SH04,FOB,3000,167,167,167,127,80,1385,939,524
CN_ZS_20260523_CN_ZS-PO-0025_WHT_SH05,中国中山厂,CN_ZS,2026-05-23,CN_ZS-PO-0025,ST003,WHT,SH05,FOB,8000,159,159,159,100,76,2203,1497,815
CN_ZS_20260525_CN_ZS-PO-0001_WHT_SH01,中国中山厂,CN_ZS,2026-05-25,CN_ZS-PO-0001,ST001,WHT,SH01,CMT,5000,153,168,168,111,55,1983,1352,761
